Number of Guests,Quantity of Food,Wastage Food Amount,Type of Food_Dairy Products,Type of Food_Fruits,Type of Food_Meat,Type of Food_Vegetables,Storage Conditions_Room Temperature,Purchase History_Regular,Pricing_Low,Pricing_Moderate,Event Type_Corporate,Event Type_Social Gathering,Event Type_Wedding,Seasonality_Summer,Seasonality_Winter,Preparation Method_Finger Food,Preparation Method_Sit-down Dinner,Geographical Location_Suburban,Geographical Location_Urban,Predicted Wastage,Residuals
400,500,40,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,44.99994,-4.99993896484375
280,350,20,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,19.569233,0.4307670593261719
380,400,25,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,25.00002,-1.9073486328125e-05
350,450,20,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,19.999897,0.000102996826171875
280,350,20,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,19.569233,0.4307670593261719
290,374,27,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,26.999693,0.0003070831298828125
320,400,40,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,36.206768,3.793231964111328
280,350,15,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,18.81575,-3.8157501220703125
450,500,30,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,30.00023,-0.0002307891845703125
230,500,30,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,29.999985,1.52587890625e-05
442,482,32,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,32.00024,-0.000240325927734375
250,350,35,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,32.000065,2.9999351501464844
310,350,35,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,35.00002,-1.9073486328125e-05
350,450,30,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,30.00031,-0.0003108978271484375
350,450,35,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,39.36508,-4.365081787109375
350,450,40,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.00031,9.999689102172852
380,500,35,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,35.00007,-6.866455078125e-05
350,450,35,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,39.36508,-4.365081787109375
250,350,20,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,21.428581,-1.4285812377929688
350,450,40,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,39.998905,0.001094818115234375
250,350,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,39.599945,0.400054931640625
220,300,10,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,10.000626,-0.0006256103515625
280,350,15,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,18.81575,-3.8157501220703125
320,400,35,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,36.206768,-1.2067680358886719
220,300,15,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,15.763225,-0.7632246017456055
350,450,40,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,39.36508,0.634918212890625
350,450,45,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,39.36508,5.634918212890625
290,374,27,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,26.999693,0.0003070831298828125
472,489,36,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,35.999718,0.00028228759765625
250,350,10,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,9.999945,5.53131103515625e-05
220,300,15,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,15.763225,-0.7632246017456055
400,500,25,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,25.000101,-0.0001010894775390625
450,500,30,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,30.00023,-0.0002307891845703125
300,400,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,29.999329,0.00067138671875
350,450,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.00031,-0.0003108978271484375
300,400,20,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,19.642925,0.3570747375488281
280,350,20,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,19.569233,0.4307670593261719
320,400,25,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,24.237059,0.7629413604736328
320,400,30,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,34.166843,-4.166843414306641
280,400,25,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,24.999786,0.000213623046875
400,350,35,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,35.00016,-0.00016021728515625
400,500,50,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,44.99994,5.00006103515625
220,300,15,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
434,495,36,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,35.999943,5.7220458984375e-05
320,480,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40.00001,-1.1444091796875e-05
220,300,15,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,15.763225,-0.7632246017456055
310,350,35,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35.00002,-1.9073486328125e-05
220,300,15,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
350,450,30,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,30.00031,-0.0003108978271484375
280,350,20,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,19.569233,0.4307670593261719
